INDICE   | OPERACAO             | RESULTADO            | ARG1                 | ARG2                 | LINHA 
----------------------------------------------------------------------------------------------------------
0        | FUNCTION_START       | unknown_function     | -                    | -                    | 4     
1        | FUNCTION_END         | unknown_function     | -                    | -                    | 4     
2        | ASSIGN               | a                    | a                    | -                    | 6     
3        | ASSIGN               | a                    | a                    | -                    | 7     
4        | ASSIGN               | a                    | a                    | -                    | 8     
5        | ASSIGN               | a                    | a                    | -                    | 11    
6        | ASSIGN               | b                    | b                    | -                    | 12    
7        | ASSIGN               | c                    | c                    | -                    | 13    
8        | ASSIGN               | a                    | a                    | -                    | 14    
9        | ASSIGN               | b                    | b                    | -                    | 14    
10       | ASSIGN               | c                    | c                    | -                    | 14    
11       | ASSIGN               | d                    | d                    | -                    | 15    
12       | ASSIGN               | e                    | e                    | -                    | 16    
13       | ASSIGN               | f                    | f                    | -                    | 17    
14       | WRITE                | b                    | -                    | -                    | 18    
15       | ASSIGN               | d                    | d                    | -                    | 19    
16       | ASSIGN               | a                    | a                    | -                    | 21    
17       | ASSIGN               | b                    | b                    | -                    | 22    
18       | ASSIGN               | c                    | c                    | -                    | 22    
19       | ASSIGN               | c                    | c                    | -                    | 23    
20       | ASSIGN               | a                    | a                    | -                    | 23    
21       | ASSIGN               | b                    | b                    | -                    | 23    
22       | ASSIGN               | b                    | b                    | -                    | 27    
23       | ASSIGN               | b                    | b                    | -                    | 28    
24       | ASSIGN               | a                    | a                    | -                    | 29    
25       | ASSIGN               | a                    | a                    | -                    | 29    
