INDICE   | OPERACAO             | RESULTADO            | ARG1                 | ARG2                 | LINHA 
----------------------------------------------------------------------------------------------------------
0        | FUNCTION_START       | proc                 | -                    | -                    | 4     
1        | RETURN               | -                    | -                    | -                    | 4     
2        | FUNCTION_END         | proc                 | -                    | -                    | 4     
3        | ASSIGN               | a                    | 1                    | -                    | 6     
4        | LT                   | t0                   | a                    | 1                    | 7     
5        | JUMP_IF_FALSE        | L0                   | t0                   | -                    | 7     
6        | ASSIGN               | a                    | 12                   | -                    | 8     
7        | LABEL                | L0                   | -                    | -                    | 7     
8        | ASSIGN               | a                    | 2                    | -                    | 11    
9        | ASSIGN               | b                    | 10                   | -                    | 12    
10       | ASSIGN               | c                    | 11                   | -                    | 13    
11       | ADD                  | t1                   | b                    | c                    | 14    
12       | ASSIGN               | a                    | t1                   | -                    | 14    
13       | ASSIGN               | d                    | true                 | -                    | 15    
14       | ASSIGN               | e                    | false                | -                    | 16    
15       | ASSIGN               | f                    | true                 | -                    | 17    
16       | WRITE                | -                    | b                    | -                    | 18    
17       | JUMP_IF_FALSE        | L1                   | d                    | -                    | 19    
18       | ASSIGN               | a                    | 20                   | -                    | 21    
19       | MUL                  | t2                   | 10                   | c                    | 22    
20       | ASSIGN               | b                    | t2                   | -                    | 22    
21       | DIV                  | t3                   | a                    | b                    | 23    
22       | ASSIGN               | c                    | t3                   | -                    | 23    
23       | LABEL                | L1                   | -                    | -                    | 19    
24       | LABEL                | L2                   | -                    | -                    | 25    
25       | GT                   | t4                   | a                    | 1                    | 25    
26       | JUMP_IF_FALSE        | L3                   | t4                   | -                    | 25    
27       | GT                   | t5                   | b                    | 10                   | 27    
28       | JUMP_IF_FALSE        | L4                   | t5                   | -                    | 27    
29       | ASSIGN               | b                    | 2                    | -                    | 28    
30       | LABEL                | L4                   | -                    | -                    | 27    
31       | SUB                  | t6                   | a                    | 1                    | 29    
32       | ASSIGN               | a                    | t6                   | -                    | 29    
33       | JUMP                 | L2                   | -                    | -                    | 25    
34       | LABEL                | L3                   | -                    | -                    | 25    
