Name: then, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 7
Name: procedure, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 4
Name: begin, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 5
Name: do, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 25
Name: var, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 2
Name: proc, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 4
Name: integer, Category: datatype, Type: integer, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 2
Name: div, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 23
Name: a, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 2
Name: b, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 2
Name: c, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 2
Name: d, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 3
Name: e, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 3
Name: f, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 3
Name: a1, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 4
Name: while, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 25
Name: end, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 9
Name: program, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 1
Name: boolean, Category: datatype, Type: boolean, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 3
Name: write, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 18
Name: correto, Category: identifier, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 1
Name: if, Category: keyword, Type: -, Scope: -, Address: -, Size: 0, Parameters: -, Literal Value: -, Declared In: -, Visibility: -, Line: 7
